t,r11,r12,r13,r21,r22,r23,r31,r32,r33
1708857504339218,9.48271e-08,-1,3.67248e-06,0.0198521,-3.66987e-06,-0.999803,0.999803,1.67715e-07,0.0198521
1708857504349022,3.76825e-07,-1,3.67236e-06,0.0213856,-3.66347e-06,-0.999771,0.999771,4.55275e-07,0.0213856
1708857504359195,8.28932e-08,-1,3.67223e-06,0.023101,-3.66933e-06,-0.999733,0.999733,1.67703e-07,0.023101
1708857504369323,7.63099e-08,-1,3.67207e-06,0.0248933,-3.66903e-06,-0.99969,0.99969,1.67696e-07,0.0248933
1708857504379509,5.48866e-07,-1,3.67189e-06,0.0267679,-3.65589e-06,-0.999642,0.999642,6.46958e-07,0.0267679
1708857504389216,4.45624e-07,-1,3.67169e-06,0.0287413,-3.65737e-06,-0.999587,0.999587,5.50969e-07,0.0287413
1708857504399365,1.86495e-07,-1,3.67147e-06,0.0308117,-3.66398e-06,-0.999525,0.999525,2.99531e-07,0.0308117
1708857504409207,2.38408e-07,-1,3.67121e-06,0.0329827,-3.66135e-06,-0.999456,0.999456,3.59364e-07,0.0329827
1708857504419035,6.25557e-08,-1,3.67093e-06,0.035189,-3.66646e-06,-0.999381,0.999381,1.91693e-07,0.035189
1708857504429089,1.62323e-07,-1,3.67064e-06,0.0373924,-3.662e-06,-0.999301,0.999301,2.99463e-07,0.0373924
1708857504439233,-1.45444e-07,-1,3.67032e-06,0.039596,-3.67321e-06,-0.999216,0.999216,-2.22045e-16,0.039596
1708857504449336,5.00527e-08,-1,3.66999e-06,0.0418238,-3.66469e-06,-0.999125,0.999125,2.03502e-07,0.0418238
1708857504458978,4.11631e-08,-1,3.66961e-06,0.0442439,-3.66419e-06,-0.999021,0.999021,2.03481e-07,0.0442439
1708857504469118,2.11466e-07,-1,3.66918e-06,0.046821,-3.65525e-06,-0.998903,0.998903,3.83029e-07,0.046821
1708857504479036,2.97457e-07,-1,3.6687e-06,0.0495439,-3.64946e-06,-0.998772,0.998772,4.78853e-07,0.0495439
1708857504489322,3.82763e-07,-1,3.66816e-06,0.052406,-3.64306e-06,-0.998626,0.998626,5.74471e-07,0.052406
1708857504499108,5.39724e-07,-1,3.66758e-06,0.0553427,-3.63209e-06,-0.998467,0.998467,7.4187e-07,0.0553427
1708857504509277,6.48728e-07,-1,3.66696e-06,0.0583041,-3.6229e-06,-0.998299,0.998299,8.61423e-07,0.0583041
1708857504519483,2.30004e-07,-1,3.66629e-06,0.0613565,-3.64527e-06,-0.998116,0.998116,4.54521e-07,0.0613565
1708857504529048,-4.51377e-08,-1,3.66556e-06,0.0645076,-3.66083e-06,-0.997917,0.997917,1.91413e-07,0.0645076
1708857504539217,3.89904e-08,-1,3.66478e-06,0.0676901,-3.65374e-06,-0.997706,0.997706,2.86971e-07,0.0676901
1708857504549528,1.23026e-07,-1,3.66397e-06,0.070898,-3.64603e-06,-0.997484,0.997484,3.82484e-07,0.070898
1708857504559367,3.03198e-07,-1,3.66312e-06,0.074067,-3.6306e-06,-0.997253,0.997253,5.73681e-07,0.074067
1708857504569187,1.59868e-08,-1,3.66224e-06,0.0772313,-3.65006e-06,-0.997013,0.997013,2.98778e-07,0.0772313
1708857504579322,1.5979e-07,-1,3.6613e-06,0.0804716,-3.63657e-06,-0.996757,0.996757,4.53903e-07,0.0804716
1708857504589292,4.70843e-07,-1,3.66027e-06,0.083877,-3.60788e-06,-0.996476,0.996476,7.76196e-07,0.083877
1708857504598989,6.28898e-08,-1,3.65919e-06,0.0872696,-3.63975e-06,-0.996185,0.996185,3.81986e-07,0.0872696
1708857504609381,-3.33528e-07,-1,3.65803e-06,0.0908003,-3.67321e-06,-0.995869,0.995869,-5.55112e-17,0.0908003
1708857504619246,-4.66786e-07,-1,3.65679e-06,0.0944418,-3.68453e-06,-0.99553,0.99553,-1.19346e-07,0.0944418
1708857504628942,-7.27753e-08,-1,3.65548e-06,0.0981174,-3.64498e-06,-0.995175,0.995175,2.86242e-07,0.0981174
1708857504639044,-3.74642e-07,-1,3.65405e-06,0.101993,-3.67321e-06,-0.994785,0.994785,-1.11022e-16,0.101993
1708857504649122,-1.97492e-07,-1,3.65252e-06,0.105985,-3.65288e-06,-0.994368,0.994368,1.90732e-07,0.105985
1708857504659395,1.70942e-07,-1,3.65089e-06,0.110073,-3.60989e-06,-0.993924,0.993924,5.71766e-07,0.110073
1708857504669162,-5.39717e-07,-1,3.64913e-06,0.114297,-3.68691e-06,-0.993447,0.993447,-1.19096e-07,0.114297
1708857504679347,-1.35719e-07,-1,3.64731e-06,0.118532,-3.63768e-06,-0.99295,0.99295,2.9756e-07,0.118532
1708857504689024,-4.51628e-07,-1,3.64534e-06,0.122952,-3.67321e-06,-0.992413,0.992413,5.55112e-17,0.122952
1708857504699195,-4.55892e-07,-1,3.64328e-06,0.127392,-3.67167e-06,-0.991853,0.991853,1.19451e-08,0.127392
1708857504709418,-4.00584e-07,-1,3.64113e-06,0.131869,-3.66216e-06,-0.991267,0.991267,8.30666e-08,0.131869
1708857504718991,7.46138e-08,-1,3.63893e-06,0.136297,-3.5948e-06,-0.990668,0.990668,5.69893e-07,0.136297
1708857504729143,-5.17089e-07,-1,3.63663e-06,0.140773,-3.67321e-06,-0.990042,0.990042,-2.77556e-16,0.140773
1708857504739383,-4.26512e-07,-1,3.63413e-06,0.145479,-3.65752e-06,-0.989361,0.989361,1.06714e-07,0.145479
1708857504749036,-1.68407e-07,-1,3.63152e-06,0.150238,-3.6156e-06,-0.98865,0.98865,3.79097e-07,0.150238
1708857504759305,1.01739e-07,-1,3.62882e-06,0.154998,-3.56919e-06,-0.987915,0.987915,6.62969e-07,0.154998
1708857504769454,-1.0776e-07,-1,3.62597e-06,0.159861,-3.59657e-06,-0.98714,0.98714,4.73277e-07,0.159861
1708857504779533,-2.22332e-07,-1,3.62292e-06,0.164919,-3.60997e-06,-0.986307,0.986307,3.782e-07,0.164919
1708857504789183,-3.3688e-07,-1,3.61973e-06,0.170018,-3.62431e-06,-0.985441,0.985441,2.83443e-07,0.170018
1708857504799354,-2.59395e-07,-1,3.61652e-06,0.175009,-3.6061e-06,-0.984567,0.984567,3.77531e-07,0.175009
1708857504808995,-4.93546e-07,-1,3.61319e-06,0.180032,-3.64301e-06,-0.983661,0.983661,1.65008e-07,0.180032
1708857504819141,-4.16694e-07,-1,3.60967e-06,0.185196,-3.6244e-06,-0.982702,0.982702,2.59009e-07,0.185196
1708857504829396,-2.81916e-08,-1,3.60604e-06,0.190371,-3.54546e-06,-0.981712,0.981712,6.58808e-07,0.190371
1708857504839062,-5.2616e-07,-1,3.60235e-06,0.195462,-3.63571e-06,-0.980711,0.980711,1.88112e-07,0.195462
1708857504849218,-5.69473e-07,-1,3.59847e-06,0.200702,-3.63954e-06,-0.979652,0.979652,1.64335e-07,0.200702
1708857504859060,-1.33904e-07,-1,3.59436e-06,0.206089,-3.5448e-06,-0.978533,0.978533,6.0973e-07,0.206089
1708857504869306,1.84854e-09,-1,3.59006e-06,0.211557,-3.50841e-06,-0.977366,0.977366,7.61309e-07,0.211557
1708857504879568,-3.17807e-07,-1,3.58564e-06,0.217044,-3.56914e-06,-0.976162,0.976162,4.68013e-07,0.217044
1708857504889278,-8.18437e-07,-1,3.58087e-06,0.222813,-3.67321e-06,-0.974861,0.974861,-1.66533e-16,0.222813
1708857504899412,-6.4864e-07,-1,3.57576e-06,0.228806,-3.62932e-06,-0.973472,0.973472,1.86724e-07,0.228806
1708857504909211,-3.82624e-07,-1,3.57061e-06,0.234691,-3.56068e-06,-0.97207,0.97207,4.6605e-07,0.234691
1708857504919421,-3.21314e-07,-1,3.56512e-06,0.240807,-3.53758e-06,-0.970573,0.970573,5.46645e-07,0.240807
1708857504929472,-3.32147e-07,-1,3.55937e-06,0.247034,-3.53111e-06,-0.969007,0.969007,5.57435e-07,0.247034
1708857504939026,-7.38337e-07,-1,3.55348e-06,0.253226,-3.62463e-06,-0.967407,0.967407,1.8556e-07,0.253226
1708857504949201,-5.93283e-07,-1,3.54748e-06,0.259404,-3.57994e-06,-0.965769,0.965769,3.47254e-07,0.259404
1708857504959405,-5.92545e-07,-1,3.54118e-06,0.265706,-3.57133e-06,-0.964054,0.964054,3.69668e-07,0.265706
1708857504969166,-3.15471e-07,-1,3.53487e-06,0.271859,-3.4875e-06,-0.962337,0.962337,6.57395e-07,0.271859
1708857504979234,-7.21807e-07,-1,3.52832e-06,0.27809,-3.58988e-06,-0.960555,0.960555,2.87855e-07,0.27809
1708857504989389,-5.89557e-07,-1,3.52145e-06,0.284475,-3.54367e-06,-0.958683,0.958683,4.36568e-07,0.284475
1708857504999208,-9.00399e-07,-1,3.51447e-06,0.290794,-3.62443e-06,-0.956786,0.956786,1.60499e-07,0.290794
1708857505009011,-1.09152e-06,-1,3.50728e-06,0.297157,-3.67321e-06,-0.954828,0.954828,3.33067e-16,0.297157
1708857505019125,-9.23547e-07,-1,3.49978e-06,0.303647,-3.61496e-06,-0.952785,0.952785,1.82756e-07,0.303647
1708857505029236,-5.87914e-07,-1,3.49211e-06,0.310114,-3.50227e-06,-0.9507,0.9507,5.24022e-07,0.310114
1708857505039444,-7.08201e-07,-1,3.48404e-06,0.316775,-3.52896e-06,-0.948501,0.948501,4.3193e-07,0.316775
1708857505049043,-5.8958e-07,-1,3.47548e-06,0.32367,-3.47923e-06,-0.94617,0.94617,5.67065e-07,0.32367
1708857505059271,-1.47235e-07,-1,3.46686e-06,0.330449,-3.32076e-06,-0.943824,0.943824,1.00666e-06,0.330449
1708857505069377,-1.04728e-06,-1,3.4579e-06,0.337333,-3.6085e-06,-0.941385,0.941385,1.8057e-07,0.337333
1708857505079223,-1.19202e-06,-1,3.44889e-06,0.344101,-3.64846e-06,-0.938933,0.938933,6.75384e-08,0.344101
1708857505089051,-1.66047e-06,-1,3.43965e-06,0.35089,-3.80359e-06,-0.936417,0.936417,-3.47955e-07,0.35089
1708857505099204,-1.13448e-06,-1,3.43004e-06,0.357799,-3.60888e-06,-0.933799,0.933799,1.67892e-07,0.357799
1708857505109381,-1.33944e-06,-1,3.42028e-06,0.364652,-3.67321e-06,-0.931144,0.931144,2.22045e-16,0.364652
1708857505119064,-5.01832e-07,-1,3.41028e-06,0.371535,-3.35262e-06,-0.928419,0.928419,8.01127e-07,0.371535
1708857505129094,-1.22248e-06,-1,3.39996e-06,0.378479,-3.60972e-06,-0.92561,0.92561,1.55271e-07,0.378479
1708857505139114,-1.23536e-06,-1,3.38966e-06,0.385264,-3.60394e-06,-0.922806,0.922806,1.65913e-07,0.385264
1708857505149394,-1.9321e-06,-1,3.3789e-06,0.392201,-3.86596e-06,-0.91988,0.91988,-4.52088e-07,0.392201
1708857505159077,-1.46602e-06,-1,3.36797e-06,0.399111,-3.67321e-06,-0.916902,0.916902,2.77556e-16,0.399111
1708857505169402,-1.47946e-06,-1,3.35676e-06,0.40605,-3.66832e-06,-0.913851,0.913851,1.1006e-08,0.40605
1708857505178937,-1.5178e-06,-1,3.34495e-06,0.413208,-3.67321e-06,-0.910637,0.910637,-2.22045e-16,0.413208
1708857505189046,-8.72678e-07,-1,3.33306e-06,0.420275,-3.39117e-06,-0.907397,0.907397,6.08936e-07,0.420275
1708857505199039,-6.11378e-07,-1,3.32076e-06,0.427443,-3.26343e-06,-0.904042,0.904042,8.66723e-07,0.427443
1708857505209268,-1.1168e-06,-1,3.30825e-06,0.434563,-3.46486e-06,-0.900641,0.900641,4.31808e-07,0.434563
1708857505219159,-2.02927e-06,-1,3.2958e-06,0.44151,-3.85312e-06,-0.897256,0.897256,-3.65645e-07,0.44151
1708857505229212,-1.35998e-06,-1,3.28297e-06,0.448548,-3.5442e-06,-0.893759,0.893759,2.57075e-07,0.448548
1708857505239413,-1.56456e-06,-1,3.27039e-06,0.455302,-3.6241e-06,-0.890337,0.890337,9.60347e-08,0.455302
1708857505248984,-1.68554e-06,-1,3.2574e-06,0.462154,-3.66764e-06,-0.8868,0.8868,1.0682e-08,0.462154
1708857505259185,-7.16032e-07,-1,3.24417e-06,0.469007,-3.20106e-06,-0.883194,0.883194,8.89146e-07,0.469007
1708857505269322,-1.67553e-06,-1,3.23092e-06,0.475731,-3.63899e-06,-0.879591,0.879591,6.32694e-08,0.475731
1708857505279554,-1.97667e-06,-1,3.21697e-06,0.482683,-3.77151e-06,-0.875795,0.875795,-1.78385e-07,0.482683
1708857505289194,-1.41433e-06,-1,3.20319e-06,0.489431,-3.48554e-06,-0.872042,0.872042,3.34385e-07,0.489431
1708857505299055,-1.34298e-06,-1,3.18925e-06,0.496139,-3.43535e-06,-0.868243,0.868243,4.1628e-07,0.496139
1708857505309238,-1.58343e-06,-1,3.17507e-06,0.50283,-3.54068e-06,-0.864385,0.864385,2.27829e-07,0.50283
1708857505318935,-1.48743e-06,-1,3.16106e-06,0.509332,-3.47791e-06,-0.86057,0.86057,3.29988e-07,0.509332
1708857505329130,-2.65028e-06,-1,3.14649e-06,0.515966,-4.06276e-06,-0.856609,0.856609,-6.46773e-07,0.515966
1708857505339209,-2.02701e-06,-1,3.13197e-06,0.522478,-3.72955e-06,-0.852653,0.852653,-9.19481e-08,0.522478
1708857505349493,-1.54769e-06,-1,3.11714e-06,0.529015,-3.46399e-06,-0.848612,0.848612,3.35626e-07,0.529015
1708857505359025,-8.17225e-07,-1,3.10171e-06,0.535703,-3.05689e-06,-0.844407,0.844407,9.71522e-07,0.535703
1708857505369179,-1.22505e-06,-1,3.08609e-06,0.542339,-3.2572e-06,-0.84016,0.84016,6.44467e-07,0.542339
1708857505379383,-2.13696e-06,-1,3.06983e-06,0.549132,-3.73904e-06,-0.835736,0.835736,-1.0019e-07,0.549132
1708857505389126,-2.16154e-06,-1,3.05353e-06,0.555824,-3.73984e-06,-0.8313,0.8313,-9.96579e-08,0.555824
1708857505399407,-2.05417e-06,-1,3.03698e-06,0.562508,-3.66644e-06,-0.826792,0.826792,9.96047e-09,0.562508
1708857505408959,-2.09085e-06,-1,3.02006e-06,0.569217,-3.67321e-06,-0.822187,0.822187,-3.88578e-16,0.569217
1708857505419246,-2.49809e-06,-1,3.00345e-06,0.575692,-3.89395e-06,-0.817666,0.817666,-3.13536e-07,0.575692
1708857505429408,-2.54604e-06,-1,2.98649e-06,0.582197,-3.91045e-06,-0.813048,0.813048,-3.31331e-07,0.582197
1708857505439083,-1.96983e-06,-1,2.96981e-06,0.588488,-3.56033e-06,-0.808506,0.808506,1.55081e-07,0.588488
1708857505449361,-1.80127e-06,-1,2.95287e-06,0.594773,-3.44515e-06,-0.803894,0.803894,3.08257e-07,0.594773
1708857505459148,-2.38742e-06,-1,2.93576e-06,0.601015,-3.78125e-06,-0.799238,0.799238,-1.43678e-07,0.601015
1708857505469348,-2.61353e-06,-1,2.91877e-06,0.60712,-3.90601e-06,-0.79461,0.79461,-3.04692e-07,0.60712
1708857505479011,-2.25282e-06,-1,2.90125e-06,0.613311,-3.67321e-06,-0.789841,0.789841,1.66533e-16,0.613311
1708857505489195,-1.98758e-06,-1,2.88372e-06,0.619408,-3.49504e-06,-0.78507,0.78507,2.25808e-07,0.619408
1708857505499004,-1.84232e-06,-1,2.86584e-06,0.625531,-3.38836e-06,-0.780199,0.780199,3.5529e-07,0.625531
1708857505509173,-2.26024e-06,-1,2.84761e-06,0.631671,-3.6353e-06,-0.775237,0.775237,4.65297e-08,0.631671
1708857505519360,-3.00155e-06,-1,2.82947e-06,0.637683,-4.09357e-06,-0.770299,0.770299,-5.07788e-07,0.637683
1708857505529466,-3.22745e-06,-1,2.81093e-06,0.643733,-4.22868e-06,-0.76525,0.76525,-6.60323e-07,0.643733
1708857505539373,-2.37455e-06,-1,2.79223e-06,0.649732,-3.66538e-06,-0.760164,0.760164,9.15246e-09,0.649732
1708857505549077,-1.83359e-06,-1,2.77307e-06,0.655789,-3.29596e-06,-0.754944,0.754944,4.34291e-07,0.655789
1708857505559130,-2.61083e-06,-1,2.75362e-06,0.661835,-3.79218e-06,-0.749649,0.749649,-1.34764e-07,0.661835
1708857505569001,-3.59094e-06,-1,2.73457e-06,0.667662,-4.43333e-06,-0.744464,0.744464,-8.47555e-07,0.667662
1708857505579254,-3.07303e-06,-1,2.71537e-06,0.673447,-4.07682e-06,-0.739236,0.739236,-4.43041e-07,0.673447
1708857505589352,-2.29071e-06,-1,2.69638e-06,0.679076,-3.53489e-06,-0.734068,0.734068,1.49514e-07,0.679076
1708857505599424,-2.21581e-06,-1,2.67671e-06,0.684821,-3.46798e-06,-0.728711,0.728711,2.18377e-07,0.684821
1708857505609146,-2.15305e-06,-1,2.6568e-06,0.690542,-3.40842e-06,-0.723292,0.723292,2.77346e-07,0.690542
1708857505618979,-3.22817e-06,-1,2.637e-06,0.696148,-4.14038e-06,-0.717898,0.717898,-4.8176e-07,0.696148
1708857505629152,-3.9202e-06,-1,2.61653e-06,0.70185,-4.61521e-06,-0.712325,0.712325,-9.56046e-07,0.70185
1708857505639342,-2.59847e-06,-1,2.59622e-06,0.707413,-3.67321e-06,-0.7068,0.7068,5.55112e-17,0.707413
1708857505649454,-1.92396e-06,-1,2.57542e-06,0.713028,-3.17755e-06,-0.701135,0.701135,4.87394e-07,0.713028
1708857505659107,-2.16014e-06,-1,2.55442e-06,0.718605,-3.32868e-06,-0.695419,0.695419,3.3342e-07,0.718605
1708857505669289,-3.70216e-06,-1,2.53368e-06,0.724027,-4.42812e-06,-0.689772,0.689772,-7.19195e-07,0.724027
1708857505679146,-4.11784e-06,-1,2.51231e-06,0.729522,-4.72236e-06,-0.683957,0.683957,-9.83639e-07,0.729522
1708857505689295,-2.24371e-06,-1,2.49145e-06,0.734805,-3.33859e-06,-0.678278,0.678278,3.08874e-07,0.734805
1708857505699106,-2.07103e-06,-1,2.47058e-06,0.740013,-3.19429e-06,-0.672592,0.672592,4.35306e-07,0.740013
1708857505709277,-2.49757e-06,-1,2.44949e-06,0.745188,-3.49462e-06,-0.666854,0.666854,1.59816e-07,0.745188
1708857505718998,-4.48171e-06,-1,2.42842e-06,0.750279,-4.96801e-06,-0.661122,0.661122,-1.14096e-06,0.750279
1708857505729409,-3.47001e-06,-1,2.40678e-06,0.755434,-4.19834e-06,-0.655225,0.655225,-4.55473e-07,0.755434
1708857505739051,-2.78128e-06,-1,2.38532e-06,0.76046,-3.66405e-06,-0.649385,0.649385,7.81872e-09,0.76046
1708857505749244,-2.42841e-06,-1,2.36345e-06,0.765506,-3.37967e-06,-0.643429,0.643429,2.46725e-07,0.765506
1708857505759438,-2.63854e-06,-1,2.34127e-06,0.770539,-3.52541e-06,-0.637392,0.637392,1.2226e-07,0.770539
1708857505769304,-4.31056e-06,-1,2.31911e-06,0.775486,-4.80698e-06,-0.631364,0.631364,-9.23101e-07,0.775486
1708857505779277,-3.34611e-06,-1,2.29666e-06,0.780426,-4.04737e-06,-0.625248,0.625248,-2.99772e-07,0.780426
1708857505789413,-2.30916e-06,-1,2.27433e-06,0.785259,-3.22148e-06,-0.619167,0.619167,3.56181e-07,0.785259
1708857505799418,-2.32687e-06,-1,2.2517e-06,0.79008,-3.21871e-06,-0.613004,0.613004,3.52647e-07,0.79008
1708857505809029,-2.90775e-06,-1,2.22873e-06,0.79489,-3.66363e-06,-0.606754,0.606754,7.30727e-09,0.79489
1708857505819269,-3.90808e-06,-1,2.20557e-06,0.799664,-4.44948e-06,-0.600448,0.600448,-5.82884e-07,0.799664
1708857505829452,-3.72226e-06,-1,2.18159e-06,0.804525,-4.29033e-06,-0.593919,0.593919,-4.5558e-07,0.804525
1708857505839015,-2.80485e-06,-1,2.1578e-06,0.809265,-3.53745e-06,-0.587444,0.587444,9.85414e-08,0.809265
1708857505849197,-2.63028e-06,-1,2.13385e-06,0.81396,-3.38054e-06,-0.58092,0.58092,2.08884e-07,0.81396
1708857505859405,-3.85765e-06,-1,2.10987e-06,0.818578,-4.36969e-06,-0.574396,0.574396,-4.88729e-07,0.818578
1708857505869061,-4.17378e-06,-1,2.08621e-06,0.823058,-4.62014e-06,-0.567958,0.567958,-6.53464e-07,0.823058
1708857505879276,-3.54308e-06,-1,2.06212e-06,0.827547,-4.08973e-06,-0.561396,0.561396,-2.8257e-07,0.827547
1708857505889405,-2.50468e-06,-1,2.03816e-06,0.831937,-3.21465e-06,-0.55487,0.55487,3.05847e-07,0.831937
1708857505899132,-3.05982e-06,-1,2.01398e-06,0.83629,-3.66314e-06,-0.548287,0.548287,6.60599e-09,0.83629
1708857505909375,-3.95052e-06,-1,1.98971e-06,0.840582,-4.39853e-06,-0.541684,0.541684,-4.67419e-07,0.840582
1708857505919031,-4.94854e-06,-1,1.96581e-06,0.844734,-5.23228e-06,-0.535186,0.535186,-9.87803e-07,0.844734
1708857505929154,-3.11803e-06,-1,1.94173e-06,0.848858,-3.67321e-06,-0.528621,0.528621,-5.55112e-17,0.848858
1708857505939056,-2.86934e-06,-1,1.91764e-06,0.852908,-3.44841e-06,-0.522062,0.522062,1.376e-07,0.852908
1708857505949157,-2.86022e-06,-1,1.89301e-06,0.856978,-3.42672e-06,-0.515353,0.515353,1.48239e-07,0.856978
1708857505959477,-3.34227e-06,-1,1.86843e-06,0.860964,-3.82798e-06,-0.508666,0.508666,-9.14423e-08,0.860964
1708857505969121,-5.28609e-06,-1,1.84388e-06,0.864874,-5.49741e-06,-0.50199,0.50199,-1.05884e-06,0.864874
1708857505979460,-3.38298e-06,-1,1.81902e-06,0.868771,-3.83985e-06,-0.495215,0.495215,-9.49893e-08,0.868771
1708857505989087,-2.5341e-06,-1,1.79423e-06,0.872584,-3.08763e-06,-0.488464,0.488464,3.27799e-07,0.872584
1708857505999223,-3.3991e-06,-1,1.76871e-06,0.876436,-3.83076e-06,-0.481518,0.481518,-8.65619e-08,0.876436
1708857506009388,-3.90416e-06,-1,1.74343e-06,0.88018,-4.26387e-06,-0.47464,0.47464,-3.18538e-07,0.88018
1708857506019109,-5.53555e-06,-1,1.71819e-06,0.883848,-5.69631e-06,-0.467774,0.467774,-1.07077e-06,0.883848
1708857506029354,-4.01514e-06,-1,1.69236e-06,0.887539,-4.34332e-06,-0.460732,0.460732,-3.47873e-07,0.887539
1708857506039013,-2.80585e-06,-1,1.66678e-06,0.89112,-3.25668e-06,-0.453768,0.453768,2.12101e-07,0.89112
1708857506049161,-3.66973e-06,-1,1.64096e-06,0.894663,-4.01626e-06,-0.446741,0.446741,-1.71312e-07,0.894663
