t,fx,fy,fz,tx,ty,tz
1708857503976810,-0.194298,-0.926397,10.1294,0.425143,-1.09674,-0.147926
1708857503978270,-0.159149,-0.917118,10.1522,0.42741,-1.09567,-0.148053
1708857503979679,-0.19916,-0.933937,10.1448,0.425721,-1.09655,-0.147902
1708857503981110,-0.216031,-0.928356,10.1371,0.42581,-1.09661,-0.148027
1708857503982546,-0.195463,-0.908328,10.1292,0.426021,-1.09562,-0.148046
1708857503983960,-0.170866,-0.889622,10.1676,0.426441,-1.09582,-0.147763
1708857503985407,-0.124573,-0.898874,10.1579,0.426478,-1.09166,-0.148705
1708857503986876,-0.165796,-0.907632,10.1743,0.425995,-1.09521,-0.148284
1708857503988281,-0.183416,-0.920734,10.1371,0.426517,-1.09588,-0.147918
1708857503989701,-0.233024,-0.921798,10.1611,0.425699,-1.09756,-0.147333
1708857503991145,-0.269721,-0.901319,10.1456,0.425557,-1.10298,-0.147889
1708857503992581,-0.166612,-0.903497,10.19,0.426489,-1.09471,-0.147997
1708857503993992,-0.160577,-0.918936,10.1738,0.425412,-1.09601,-0.148561
1708857503995440,-0.095917,-0.915084,10.189,0.426687,-1.08945,-0.148152
1708857503996869,-0.211553,-0.920461,10.1751,0.425686,-1.09731,-0.147995
1708857503998327,-0.220495,-0.91508,10.1675,0.426202,-1.09747,-0.148128
1708857503999749,-0.27311,-0.902663,10.1688,0.424227,-1.09988,-0.147309
1708857504001177,-0.286361,-0.892224,10.1997,0.425039,-1.10215,-0.14728
1708857504002603,-0.220708,-0.939104,10.1675,0.426573,-1.09782,-0.148263
1708857504004033,-0.178856,-0.912698,10.2133,0.426401,-1.09683,-0.147846
1708857504005471,-0.092365,-0.92268,10.1815,0.42725,-1.08936,-0.148162
1708857504006888,-0.199441,-0.910655,10.19,0.426008,-1.09582,-0.148109
1708857504008326,-0.253486,-0.906003,10.1453,0.425696,-1.09975,-0.147877
1708857504009763,-0.320968,-0.901665,10.1846,0.425849,-1.10148,-0.147391
1708857504011198,-0.357992,-0.901621,10.1776,0.425684,-1.10624,-0.147404
1708857504012620,-0.259473,-0.940114,10.2147,0.427063,-1.09812,-0.147518
1708857504014050,-0.204548,-0.949018,10.1838,0.426876,-1.09825,-0.147603
1708857504015492,-0.050561,-0.94038,10.1959,0.42764,-1.08819,-0.148571
1708857504016932,-0.140781,-0.912089,10.1967,0.425908,-1.09246,-0.14826
1708857504018348,-0.247833,-0.903778,10.1598,0.424616,-1.09968,-0.148131
1708857504019786,-0.347638,-0.910707,10.1474,0.426872,-1.10129,-0.14714
1708857504021217,-0.453233,-0.891749,10.1937,0.425282,-1.11336,-0.14749
1708857504022697,-0.282945,-0.923734,10.1916,0.425529,-1.09861,-0.147527
1708857504024159,-0.17316,-0.965132,10.1765,0.428839,-1.09811,-0.147637
1708857504025549,0.016598,-0.9193,10.179,0.427354,-1.08343,-0.149007
1708857504026990,-0.048492,-0.916201,10.2272,0.425294,-1.08797,-0.147615
1708857504028404,-0.172251,-0.939191,10.1366,0.428039,-1.09524,-0.14845
1708857504029826,-0.366454,-0.877597,10.1612,0.425317,-1.10173,-0.147773
1708857504031274,-0.555642,-0.871362,10.1793,0.423692,-1.12065,-0.147473
1708857504032685,-0.31197,-0.961991,10.1157,0.429056,-1.0985,-0.148107
1708857504034117,-0.202866,-0.93767,10.1837,0.425471,-1.09941,-0.147484
1708857504035578,0.108432,-0.937074,10.1862,0.427452,-1.07969,-0.148789
1708857504036977,0.044054,-0.95829,10.1729,0.428607,-1.08245,-0.148239
1708857504038405,-0.117519,-0.943698,10.1278,0.427683,-1.09119,-0.148741
1708857504039846,-0.394976,-0.908342,10.0697,0.424529,-1.10135,-0.147978
1708857504041277,-0.738892,-0.874399,10.0809,0.423236,-1.12822,-0.148137
1708857504042720,-0.715251,-0.931971,10.0736,0.426899,-1.11654,-0.147935
1708857504044164,-0.744886,-0.886858,10.1895,0.424434,-1.12839,-0.147088
1708857504045573,-0.21149,-0.951668,10.1505,0.426181,-1.09575,-0.149198
1708857504047022,-0.010795,-1.00499,10.2121,0.432747,-1.08317,-0.148411
1708857504048452,-0.029504,-0.873485,10.1627,0.420487,-1.08872,-0.149034
1708857504049867,-0.165035,-0.994154,10.1201,0.432193,-1.08515,-0.149444
1708857504051304,-0.803411,-0.904303,10.1145,0.42496,-1.13592,-0.147179
1708857504052739,-0.750172,-0.796782,10.1466,0.416921,-1.11558,-0.148088
1708857504054179,-1.05208,-0.960553,10.1399,0.431018,-1.14702,-0.148065
1708857504055595,-0.434673,-0.911174,10.1426,0.424559,-1.10594,-0.150407
1708857504057029,-0.156757,-0.877273,10.2649,0.42526,-1.09269,-0.148304
1708857504058476,0.024923,-0.95901,10.1637,0.428184,-1.08704,-0.149457
1708857504059919,0.144636,-0.948807,10.1837,0.427685,-1.06565,-0.149501
1708857504061320,-0.724861,-0.866501,10.1818,0.425755,-1.13159,-0.147403
1708857504062760,-0.772925,-0.818646,10.1689,0.418891,-1.11529,-0.14883
1708857504064191,-1.17218,-0.927113,10.2244,0.426544,-1.15459,-0.147665
1708857504065630,-0.58239,-0.976929,10.1317,0.430145,-1.11987,-0.149997
1708857504067046,-0.05791,-0.849374,10.3236,0.422601,-1.08462,-0.148398
1708857504068485,0.159709,-1.03666,10.14,0.431455,-1.08172,-0.149957
1708857504069930,0.32808,-1.09719,10.0398,0.438595,-1.05239,-0.149708
1708857504071358,-0.675683,-0.692673,10.2307,0.411278,-1.12632,-0.1471
1708857504072799,-0.871589,-0.886402,10.0875,0.425025,-1.12106,-0.149135
1708857504074234,-1.36123,-0.964078,10.174,0.43098,-1.16285,-0.147743
1708857504075675,-0.945287,-0.786645,10.2899,0.412955,-1.14721,-0.150788
1708857504077123,-0.080588,-1.08585,10.1913,0.438466,-1.08152,-0.148352
1708857504078511,0.127568,-1.03285,10.2176,0.430685,-1.08793,-0.149366
1708857504079955,0.683353,-0.985633,10.0616,0.427989,-1.0336,-0.151052
1708857504081415,-0.407048,-0.862695,10.0414,0.424001,-1.10798,-0.146864
1708857504082830,-0.832643,-0.753657,10.03,0.413135,-1.12147,-0.149644
1708857504084279,-1.42077,-0.917874,10.1499,0.427649,-1.16065,-0.147964
1708857504085676,-1.31066,-0.846018,10.2065,0.421776,-1.16987,-0.149799
1708857504087115,-0.111313,-1.0108,10.247,0.429732,-1.08142,-0.15025
1708857504088546,0.126488,-1.18631,10.0535,0.443341,-1.09265,-0.149837
1708857504090000,0.908189,-0.8642,10.0561,0.420986,-1.01926,-0.151547
1708857504091413,-0.051976,-0.769868,10.0121,0.415801,-1.08411,-0.1469
1708857504092843,-0.692237,-0.887506,9.87993,0.42605,-1.11865,-0.149902
1708857504094286,-1.27681,-0.71883,10.1755,0.413778,-1.14894,-0.147323
1708857504095711,-1.46791,-0.918877,10.2636,0.424214,-1.17984,-0.149014
1708857504097126,-0.27555,-1.2511,10.1763,0.446425,-1.09096,-0.151034
1708857504098614,0.201653,-1.02336,10.2486,0.428507,-1.09159,-0.148641
1708857504100010,1.09091,-0.995067,9.98849,0.429928,-1.01412,-0.151739
1708857504101451,0.393183,-0.824745,10.0302,0.421109,-1.05744,-0.147722
1708857504102894,-0.487107,-0.765453,9.92184,0.418216,-1.11016,-0.149584
1708857504104314,-1.10726,-0.87913,10.1313,0.425901,-1.13602,-0.147278
1708857504105759,-1.56835,-0.826344,10.2873,0.416677,-1.18782,-0.147913
1708857504107177,-0.415838,-1.25034,10.1515,0.448183,-1.10516,-0.149068
1708857504108593,0.175583,-1.04606,10.1676,0.431336,-1.08646,-0.147209
1708857504110030,1.09011,-0.824161,10.0487,0.419241,-1.01906,-0.150401
1708857504111466,0.622152,-0.948568,9.94736,0.432484,-1.04388,-0.147636
1708857504112902,-0.464143,-0.69892,9.96767,0.411952,-1.10894,-0.148231
1708857504114317,-1.1332,-0.840601,10.1617,0.422666,-1.13662,-0.146832
1708857504115759,-1.69894,-0.938348,10.1648,0.427381,-1.19281,-0.146243
1708857504117197,-0.852315,-1.12302,10.1777,0.439122,-1.13314,-0.14835
1708857504118636,-0.186305,-0.998658,10.1249,0.429108,-1.10007,-0.146907
1708857504120069,0.471883,-0.889359,10.0043,0.42285,-1.05298,-0.149633
1708857504121485,0.164783,-0.915659,9.92957,0.429784,-1.06469,-0.146752
1708857504122922,-0.855819,-0.66288,10.0416,0.410093,-1.12674,-0.146751
1708857504124360,-1.39909,-0.830372,10.1466,0.422058,-1.14881,-0.14829
1708857504125793,-1.86819,-1.05203,10.1384,0.435926,-1.19554,-0.146
1708857504127218,-1.20505,-1.0407,10.258,0.432929,-1.15346,-0.146924
1708857504128650,-0.355127,-0.917819,10.1306,0.423273,-1.10471,-0.147845
1708857504130124,0.181464,-0.968305,10.0336,0.432224,-1.07042,-0.149074
1708857504131555,0.054431,-0.85915,10.0419,0.424251,-1.06758,-0.14748
1708857504132959,-0.907487,-0.615477,10.2308,0.408567,-1.13048,-0.147451
1708857504134424,-1.44365,-0.966228,10.3087,0.429536,-1.15538,-0.14878
1708857504135837,-1.74588,-1.01751,10.4248,0.43533,-1.18663,-0.146516
1708857504137258,-0.969256,-0.96462,10.4742,0.428706,-1.14517,-0.147629
1708857504138684,0.000749,-0.949883,10.3315,0.427917,-1.0903,-0.14941
1708857504140121,0.804327,-0.867065,10.1834,0.422023,-1.04364,-0.149928
1708857504141576,0.949962,-0.919368,10.2004,0.431748,-1.02663,-0.148836
1708857504143004,0.263119,-0.687194,10.2831,0.412198,-1.0622,-0.150407
1708857504144431,-0.638826,-0.958785,10.4272,0.42806,-1.11424,-0.150237
1708857504145873,-1.46449,-1.13663,10.3393,0.4447,-1.16645,-0.147221
1708857504147280,-1.40213,-0.711481,10.6622,0.409509,-1.16807,-0.148288
1708857504148722,-0.380497,-1.04793,10.3077,0.434327,-1.12246,-0.149611
1708857504150155,0.980265,-0.989896,10.202,0.433293,-1.04327,-0.149131
1708857504151616,1.89764,-0.732563,10.4067,0.411124,-0.98497,-0.148758
1708857504153025,1.86683,-1.06549,10.1336,0.437706,-0.985044,-0.148347
1708857504154442,0.620826,-1.02341,10.2627,0.432728,-1.04565,-0.150605
1708857504155886,-0.814287,-0.898615,10.1369,0.423284,-1.13426,-0.147133
1708857504157301,-1.22334,-0.848588,10.2951,0.426035,-1.1537,-0.14608
1708857504158748,-1.18969,-0.75376,10.1349,0.412814,-1.17935,-0.150339
1708857504160186,0.537466,-1.16638,9.97913,0.442968,-1.05192,-0.149695
1708857504161614,1.12197,-0.810008,10.1597,0.422492,-1.03953,-0.149021
1708857504163059,1.74473,-0.902355,9.98898,0.419776,-0.980983,-0.150358
1708857504164467,0.53674,-1.3739,9.90786,0.464881,-1.04411,-0.149951
1708857504165909,-0.854599,-0.599377,9.93301,0.402481,-1.13337,-0.147198
1708857504167343,-1.58907,-0.623949,10.0258,0.408298,-1.16407,-0.14667
1708857504168781,-1.93018,-1.02689,9.74858,0.437806,-1.21428,-0.148634
1708857504170200,-0.387597,-0.83446,9.91262,0.42011,-1.10302,-0.145535
1708857504171640,0.568252,-0.950782,9.96642,0.429696,-1.06362,-0.146149
1708857504173072,1.38613,-1.06189,9.84088,0.43728,-1.00634,-0.148668
1708857504174511,0.835485,-0.846349,9.95112,0.419986,-1.02906,-0.146399
1708857504175927,-0.39361,-0.86465,9.95354,0.429673,-1.10896,-0.145522
1708857504177365,-0.878617,-0.55927,10.064,0.404561,-1.13227,-0.146359
1708857504178796,-1.15388,-0.967239,9.97666,0.428206,-1.15934,-0.146145
1708857504180279,-0.280993,-1.25578,9.83242,0.452743,-1.11164,-0.144575
1708857504181706,0.607901,-0.636874,10.1636,0.404389,-1.05058,-0.145884
1708857504183118,0.738386,-1.03549,9.82522,0.435225,-1.05152,-0.148599
1708857504184526,0.585539,-1.05276,9.98833,0.441182,-1.03488,-0.146948
1708857504185999,-0.695569,-0.509975,10.2677,0.395033,-1.13175,-0.145254
1708857504187405,-0.823353,-1.3088,10.0666,0.457065,-1.12352,-0.14893
1708857504188824,-1.19066,-0.919244,10.2639,0.424919,-1.16222,-0.14701
1708857504190299,-0.182141,-0.891704,10.2156,0.421385,-1.10133,-0.145904
1708857504191698,0.491371,-1.2241,10.0089,0.448733,-1.05401,-0.146597
1708857504193130,0.438339,-0.695167,10.1985,0.409428,-1.0621,-0.150003
1708857504194570,-0.209157,-1.16259,10.0126,0.442086,-1.07307,-0.146643
1708857504195979,-1.73333,-1.01687,10.0444,0.437234,-1.17857,-0.146349
1708857504197419,-2.11361,-0.654263,10.2493,0.407161,-1.18426,-0.147697
1708857504198877,-2.58134,-0.933456,10.0074,0.431529,-1.23777,-0.146106
1708857504200302,-1.25953,-0.81745,10.1409,0.420267,-1.1492,-0.146318
1708857504201710,-0.249979,-0.752836,10.2872,0.411052,-1.09846,-0.146936
1708857504203175,0.392752,-1.18643,10.1806,0.448907,-1.05846,-0.149125
1708857504204593,-0.114574,-0.994455,10.395,0.431259,-1.05452,-0.146694
1708857504206024,-1.72473,-0.933838,10.2691,0.427033,-1.18058,-0.146928
1708857504207446,-2.19569,-0.778126,10.2008,0.423602,-1.18391,-0.147656
1708857504208888,-2.88284,-0.422262,10.3824,0.3946,-1.25302,-0.144651
1708857504210324,-1.47548,-0.947071,10.2744,0.431579,-1.16393,-0.147272
1708857504211762,-0.489241,-1.06452,10.446,0.435607,-1.10897,-0.148587
1708857504213204,0.221416,-1.00325,10.5264,0.427197,-1.06456,-0.149056
1708857504214604,-0.135793,-1.29152,10.2708,0.455425,-1.06221,-0.148304
1708857504216044,-1.78064,-0.695944,10.373,0.412386,-1.17883,-0.145837
1708857504217511,-2.15755,-0.625284,10.2104,0.408882,-1.18278,-0.148477
1708857504218943,-2.75174,-0.688219,10.3042,0.415189,-1.24694,-0.144129
1708857504220360,-1.44326,-0.853945,10.4622,0.417498,-1.16061,-0.146159
1708857504221795,-0.429038,-1.45137,10.3765,0.456158,-1.1039,-0.148003
1708857504223245,0.118039,-1.22425,10.3729,0.445129,-1.07348,-0.149188
1708857504224697,-0.15874,-0.944053,10.3484,0.426643,-1.06163,-0.147031
1708857504226113,-1.74516,-0.832896,10.1557,0.425401,-1.18009,-0.145974
1708857504227575,-2.06217,-0.49876,10.206,0.398827,-1.18019,-0.148952
1708857504228947,-2.56214,-0.710358,10.351,0.415534,-1.23674,-0.147071
1708857504230415,-1.06414,-0.943331,10.3602,0.42621,-1.14138,-0.147243
1708857504231817,0.053942,-1.35512,10.3932,0.450035,-1.08082,-0.147713
1708857504233249,0.5432,-1.12316,10.2152,0.445721,-1.05258,-0.149838
1708857504234703,0.382477,-0.656294,10.1612,0.405763,-1.03494,-0.14753
1708857504236125,-1.27619,-0.708808,9.92909,0.420479,-1.16046,-0.145964
1708857504237551,-1.51362,-0.430919,10.0804,0.400172,-1.1521,-0.147905
1708857504238969,-2.13152,-0.612421,10.3171,0.407083,-1.21898,-0.145252
1708857504240435,-0.759612,-1.31031,10.2591,0.456337,-1.12667,-0.147353
1708857504241862,0.268211,-1.15082,10.3092,0.435015,-1.07464,-0.148887
1708857504243277,0.843927,-1.02272,10.1653,0.434396,-1.04059,-0.148892
1708857504244722,0.6049,-0.88259,10.0368,0.430659,-1.02624,-0.147378
1708857504246151,-1.04264,-0.568267,9.99046,0.402923,-1.15109,-0.146183
1708857504247627,-1.39752,-0.763895,10.0919,0.419762,-1.14306,-0.148305
1708857504249007,-2.06522,-0.957959,10.1222,0.423701,-1.21882,-0.14657
1708857504250454,-0.649083,-1.22328,10.1168,0.443778,-1.12152,-0.147977
1708857504251869,0.336285,-1.16802,10.0923,0.443707,-1.07261,-0.147445
1708857504253292,1.04383,-0.704393,10.1104,0.408667,-1.03062,-0.148812
1708857504254738,0.904472,-1.12988,10.0373,0.443541,-1.01209,-0.14779
1708857504256145,-0.778921,-0.829784,10.016,0.421413,-1.13883,-0.14628
1708857504257595,-1.11551,-0.671506,10.3387,0.410611,-1.12933,-0.14766
1708857504259031,-1.85689,-1.16019,10.1496,0.442105,-1.20751,-0.145564
1708857504260469,-0.454426,-1.02454,10.1529,0.432925,-1.11323,-0.145943
1708857504261918,0.34145,-0.821623,10.2903,0.41665,-1.07059,-0.147107
1708857504263351,0.9092,-1.02166,9.98127,0.435385,-1.03493,-0.14937
1708857504264791,0.465797,-0.936396,10.1213,0.430006,-1.04187,-0.148345
1708857504266228,-0.881342,-0.900388,10.076,0.423788,-1.13854,-0.147701
1708857504267662,-1.22986,-0.84345,10.091,0.424292,-1.14119,-0.149101
1708857504269048,-1.85089,-0.617569,10.1967,0.407479,-1.20483,-0.147503
1708857504270490,-0.497247,-0.961018,10.006,0.433721,-1.11156,-0.147368
1708857504271949,0.384664,-0.843271,10.2065,0.419619,-1.072,-0.147643
1708857504273374,1.07056,-0.978022,10.1768,0.428666,-1.02187,-0.148411
1708857504274796,0.491492,-1.35277,9.99469,0.457726,-1.03616,-0.14659
1708857504276245,-0.907039,-0.771388,10.1126,0.412841,-1.14046,-0.146871
1708857504277664,-1.4023,-0.642666,9.97737,0.412413,-1.14691,-0.147408
1708857504279121,-2.02692,-0.785648,9.90778,0.421064,-1.21025,-0.145976
1708857504280514,-0.839075,-0.839093,9.97448,0.418942,-1.13135,-0.147928
1708857504281939,-0.238559,-1.08419,10.1255,0.438489,-1.09752,-0.148147
1708857504283386,0.300148,-1.21514,10.0191,0.438316,-1.06064,-0.149249
1708857504284822,-0.264897,-1.25328,9.99917,0.451193,-1.07592,-0.147413
1708857504286261,-1.51857,-0.81293,9.97464,0.418469,-1.17376,-0.147655
1708857504287686,-1.63685,-0.437539,10.0347,0.398717,-1.1586,-0.148558
1708857504289144,-1.94445,-0.919356,9.87074,0.429452,-1.20402,-0.146299
1708857504290547,-0.665776,-0.994042,9.88796,0.431544,-1.10911,-0.150099
1708857504292010,-0.430564,-0.911418,10.0845,0.424331,-1.11144,-0.148936
1708857504293423,-0.077547,-1.11712,9.96161,0.439143,-1.07734,-0.149232
1708857504294836,-0.71933,-1.00225,9.962,0.431975,-1.10541,-0.146638
1708857504296271,-1.5875,-0.598829,10.1089,0.409063,-1.17656,-0.147737
1708857504297722,-1.46147,-0.500322,10.2085,0.400386,-1.15706,-0.149043
1708857504299168,-1.06195,-1.01455,10.0605,0.432584,-1.158,-0.146385
1708857504300593,0.20247,-1.08332,10.1346,0.439627,-1.06804,-0.148957
1708857504302041,0.494212,-0.782538,10.2941,0.415142,-1.06307,-0.148237
1708857504303425,0.624537,-0.983126,10.1274,0.431868,-1.04422,-0.149293
1708857504304851,-0.18912,-1.05537,10.156,0.441184,-1.08536,-0.147527
1708857504306298,-0.968765,-0.625837,10.2637,0.404364,-1.14352,-0.146284
1708857504307732,-1.12821,-0.766913,10.3777,0.416979,-1.14306,-0.149033
1708857504309162,-0.797787,-1.13846,10.2108,0.437569,-1.15329,-0.147476
1708857504310590,0.676706,-1.09421,10.2669,0.438408,-1.04779,-0.148948
1708857504312032,1.26034,-0.845285,10.456,0.417733,-1.02775,-0.147544
1708857504313471,1.56487,-1.09731,10.1867,0.435769,-0.995962,-0.149953
1708857504314877,0.614974,-1.31385,10.104,0.455184,-1.04337,-0.149152
1708857504316310,-0.41256,-0.682904,10.2356,0.407503,-1.11396,-0.146578
1708857504317760,-0.919151,-0.856229,10.1199,0.423934,-1.13587,-0.14865
1708857504319194,-1.01749,-1.09055,9.96149,0.438192,-1.15722,-0.147315
1708857504320600,0.31022,-0.819956,9.95253,0.419077,-1.07191,-0.149569
1708857504322047,0.847146,-0.809827,10.0248,0.420655,-1.04689,-0.148848
1708857504323507,1.06679,-1.08542,9.79621,0.436118,-1.02303,-0.150016
1708857504324912,0.245965,-1.12558,9.87542,0.440106,-1.05621,-0.148656
1708857504326368,-0.888168,-0.81639,9.85356,0.419056,-1.14362,-0.148248
1708857504327773,-1.02852,-0.641053,9.9285,0.411021,-1.1331,-0.147164
1708857504329240,-1.09237,-0.923059,9.612,0.425745,-1.16736,-0.145613
1708857504330676,0.244994,-0.937325,9.57279,0.431548,-1.06591,-0.151184
1708857504332096,0.508663,-0.62752,9.61396,0.408519,-1.06317,-0.148738
1708857504333547,0.689131,-1.05532,9.38781,0.43188,-1.03262,-0.149675
1708857504335004,-0.557772,-1.21612,9.40027,0.448228,-1.1005,-0.148008
1708857504336399,-1.87132,-0.629714,9.624,0.406805,-1.18099,-0.147523
1708857504337814,-2.60213,-0.659012,9.77782,0.409932,-1.21576,-0.146705
1708857504339238,-2.73511,-1.16944,9.47853,0.445099,-1.24134,-0.147225
1708857504340694,-1.32435,-0.835387,9.54142,0.415854,-1.15181,-0.149979
1708857504342122,-0.362883,-0.869422,9.69481,0.422033,-1.10241,-0.148825
1708857504343555,0.158875,-1.31056,9.32707,0.443185,-1.05649,-0.15037
1708857504344980,-0.636096,-1.16078,9.58597,0.443516,-1.09211,-0.149779
1708857504346397,-2.05193,-0.65668,9.85302,0.405452,-1.194,-0.148271
1708857504347855,-2.45827,-0.994294,9.76561,0.43451,-1.20216,-0.148036
1708857504349281,-2.5299,-0.946769,9.96764,0.426664,-1.23388,-0.146171
1708857504350710,-0.937334,-0.783872,9.99059,0.415113,-1.13136,-0.151783
1708857504352122,-0.184236,-1.09443,9.95451,0.439578,-1.09614,-0.150352
1708857504353568,0.466942,-1.02563,10.1248,0.427825,-1.04643,-0.151156
1708857504355031,-0.036384,-1.00252,10.0629,0.431664,-1.06447,-0.150247
1708857504356463,-1.44135,-0.943013,10.293,0.428496,-1.16203,-0.149251
1708857504357856,-1.91415,-0.765149,10.2723,0.415448,-1.17248,-0.147751
1708857504359326,-2.32658,-1.00151,10.2926,0.43303,-1.22499,-0.147372
1708857504360772,-0.972249,-0.867012,10.1848,0.416841,-1.13895,-0.150281
1708857504362186,0.010802,-0.950854,10.265,0.428982,-1.08777,-0.14815
1708857504363590,0.869467,-1.10676,10.072,0.433762,-1.03241,-0.149746
1708857504365024,0.594074,-1.01817,10.1638,0.433248,-1.04103,-0.150518
1708857504366455,-0.743867,-0.895463,10.1481,0.422987,-1.11747,-0.148367
1708857504367904,-1.69996,-0.864644,10.0915,0.422293,-1.17117,-0.147073
1708857504369311,-2.06473,-0.773861,10.1772,0.417763,-1.19988,-0.147808
1708857504370786,-1.47147,-0.791399,10.1311,0.41627,-1.18079,-0.149566
1708857504372189,-0.196712,-1.01145,10.0912,0.434229,-1.08806,-0.149073
1708857504373652,0.302975,-1.1017,10.0432,0.431771,-1.06686,-0.147566
1708857504375045,0.311353,-1.23917,9.85118,0.449638,-1.05008,-0.150663
1708857504376483,-1.10414,-0.825799,9.87801,0.418571,-1.13227,-0.147271
1708857504377940,-1.95196,-0.685095,9.71153,0.411331,-1.18596,-0.146466
1708857504379356,-2.21132,-0.732918,9.78501,0.419724,-1.2038,-0.14655
1708857504380802,-1.68297,-0.529479,9.91473,0.400327,-1.19625,-0.150278
1708857504382207,-0.057855,-1.10171,9.88609,0.43973,-1.07634,-0.148796
1708857504383646,0.396398,-1.23652,9.85649,0.446062,-1.07161,-0.147749
1708857504385080,0.906259,-0.909895,9.77643,0.425013,-1.0153,-0.150892
1708857504386516,-0.529752,-0.685878,9.8392,0.414162,-1.11137,-0.148328
1708857504387937,-1.22286,-0.537025,9.60713,0.406116,-1.1465,-0.148772
1708857504389373,-1.52811,-0.517029,9.92573,0.406632,-1.16862,-0.146872
1708857504390840,-0.947356,-0.755845,9.94924,0.412193,-1.16436,-0.15051
1708857504392290,0.634322,-1.3196,9.9862,0.452635,-1.03482,-0.150551
1708857504393679,0.777047,-1.35731,9.83136,0.451335,-1.06424,-0.148589
1708857504395102,1.4018,-0.861916,9.78644,0.424663,-0.980051,-0.150252
1708857504396530,-0.475112,-0.608541,9.7518,0.409963,-1.12313,-0.145539
1708857504397974,-0.858286,-0.650636,9.47699,0.410586,-1.1189,-0.147435
1708857504399405,-1.65685,-0.746468,9.78377,0.420328,-1.18339,-0.144382
1708857504400838,-1.0214,-0.89095,9.7935,0.415474,-1.15191,-0.148399
1708857504402278,-0.185879,-1.35844,9.86243,0.455957,-1.07601,-0.14803
1708857504403707,-0.48554,-1.27811,9.71947,0.448333,-1.1241,-0.149503
1708857504405117,-0.291579,-0.543949,10.0289,0.402095,-1.06749,-0.152739
1708857504406562,-1.60065,-0.82398,9.94569,0.419342,-1.19357,-0.148302
1708857504408037,-0.94554,-1.09504,9.81566,0.4406,-1.10712,-0.150161
1708857504409459,-1.46317,-0.737407,10.1807,0.412975,-1.19463,-0.14726
1708857504410868,-0.184982,-1.17588,9.97492,0.438799,-1.07813,-0.150976
1708857504412288,-0.323019,-1.22103,9.82768,0.447052,-1.11417,-0.146944
1708857504413739,0.316896,-0.683936,9.92245,0.409911,-1.05903,-0.14687
1708857504415191,-0.257968,-0.612322,9.98839,0.408518,-1.08827,-0.146908
1708857504416624,-1.09743,-0.823314,10.1607,0.422614,-1.14735,-0.147878
1708857504418034,-1.25125,-1.05431,10.2111,0.435449,-1.1415,-0.147624
1708857504419456,-1.34503,-1.01179,10.3955,0.430432,-1.17844,-0.148041
